"DEPTH_BIN","NEW_MRE","NEW_MAE","NEW_BIAS","OLD_MRE","OLD_MAE","OLD_BIAS","REGION"
"0-50",0.0713704382024566,0.0294144718504243,1.05472273490826,0.14356605983855,0.0592144887690071,1.01313434992439,"EBS"
"50-100",0.0171833483969421,0.0073646550500967,1.00869903791271,0.116303425980895,0.048561734996928,1.01442036366489,"EBS"
"100-200",0.00780619992351972,0.00339461948474713,0.999754777968775,0.0202338878928625,0.00894136991277215,0.995010057596975,"EBS"
"200-300",0.0980606699157047,0.067788839525398,0.876937271282848,0.0467842297224619,0.0192811919606618,1.0125405892609,"EBS"
"300-400",0.08303872161253,0.0445294665257916,0.940298558314596,0.0573571208135955,0.0265270023027767,1.00775811577057,"EBS"
"400-500",0.0578631037522344,0.027038658396349,0.969287764184541,0.0324880597783217,0.0139822720978878,1.00116353815899,"EBS"
"500-600",0.0378499961391256,0.0165878283918904,0.988478818921721,0.0252682166425052,0.0109708896511535,0.999356290028403,"EBS"
"600-700",0.0533014011108076,0.024835399115991,0.97281038624731,0.0286609881351489,0.0123921452388682,0.998888292689543,"EBS"
"700-800",0.04760386968974,0.0214413467851657,0.99742182495497,0.0361834070761754,0.0151104151087796,1.00674584938589,"EBS"
"800-900",0.0657494707532494,0.0325930598525242,0.952116381350328,0.0487268984449387,0.0199729852147607,1.0203751536223,"EBS"
"900-1000",0.0912297562788419,0.0427098163654889,0.97749034724347,0.0345840424224312,0.0138194752556817,1.01239533418843,"EBS"
"1000-1200",0.0659364930906344,0.0301667321947186,0.972159962774111,0.0412052269760598,0.0174356861470149,1.02058069806395,"EBS"
